"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/01/2023 04:00 - 09/01/2023 05:00","BZN|CZ","6344.95","6484.00"
"09/01/2023 05:00 - 09/01/2023 06:00","BZN|CZ","6948.83","7070.00"
"09/01/2023 06:00 - 09/01/2023 07:00","BZN|CZ","8145.63","8214.00"
"09/01/2023 07:00 - 09/01/2023 08:00","BZN|CZ","8723.89","8732.00"
"09/01/2023 08:00 - 09/01/2023 09:00","BZN|CZ","8870.03","8865.00"
"09/01/2023 09:00 - 09/01/2023 10:00","BZN|CZ","9028.66","9105.00"
"09/01/2023 10:00 - 09/01/2023 11:00","BZN|CZ","9018.34","9103.00"
"09/01/2023 11:00 - 09/01/2023 12:00","BZN|CZ","9023.70","9112.00"
"09/01/2023 12:00 - 09/01/2023 13:00","BZN|CZ","9136.98","9160.00"
"09/01/2023 13:00 - 09/01/2023 14:00","BZN|CZ","9169.00","9115.00"
"09/01/2023 14:00 - 09/01/2023 15:00","BZN|CZ","8871.24","8939.00"
"09/01/2023 15:00 - 09/01/2023 16:00","BZN|CZ","8785.31","8952.00"
"09/01/2023 16:00 - 09/01/2023 17:00","BZN|CZ","8783.01","8964.00"
"09/01/2023 17:00 - 09/01/2023 18:00","BZN|CZ","8670.39","8956.00"
"09/01/2023 18:00 - 09/01/2023 19:00","BZN|CZ","8483.60","8748.00"
"09/01/2023 19:00 - 09/01/2023 20:00","BZN|CZ","8452.86","8674.00"
"09/01/2023 20:00 - 09/01/2023 21:00","BZN|CZ","8201.18","8428.00"
"09/01/2023 21:00 - 09/01/2023 22:00","BZN|CZ","7761.21","7950.00"
"09/01/2023 22:00 - 09/01/2023 23:00","BZN|CZ","7347.32","7524.00"
"09/01/2023 23:00 - 10/01/2023 00:00","BZN|CZ","6937.26","7087.00"
"10/01/2023 00:00 - 10/01/2023 01:00","BZN|CZ","6667.97","6768.00"
"10/01/2023 01:00 - 10/01/2023 02:00","BZN|CZ","6709.70","6809.00"
"10/01/2023 02:00 - 10/01/2023 03:00","BZN|CZ","6562.92","6672.00"
"10/01/2023 03:00 - 10/01/2023 04:00","BZN|CZ","6517.56","6603.00"
"10/01/2023 04:00 - 10/01/2023 05:00","BZN|CZ","6685.22","6735.00"
"10/01/2023 05:00 - 10/01/2023 06:00","BZN|CZ","7184.27","7286.00"
"10/01/2023 06:00 - 10/01/2023 07:00","BZN|CZ","8306.70","8334.00"
"10/01/2023 07:00 - 10/01/2023 08:00","BZN|CZ","8823.85","8843.00"
"10/01/2023 08:00 - 10/01/2023 09:00","BZN|CZ","8959.87","9023.00"
"10/01/2023 09:00 - 10/01/2023 10:00","BZN|CZ","9113.52","9218.00"
"10/01/2023 10:00 - 10/01/2023 11:00","BZN|CZ","9000.63","9207.00"
"10/01/2023 11:00 - 10/01/2023 12:00","BZN|CZ","9002.29","9180.00"
"10/01/2023 12:00 - 10/01/2023 13:00","BZN|CZ","9066.64","9210.00"
"10/01/2023 13:00 - 10/01/2023 14:00","BZN|CZ","9087.31","9207.00"
"10/01/2023 14:00 - 10/01/2023 15:00","BZN|CZ","8785.76","9051.00"
"10/01/2023 15:00 - 10/01/2023 16:00","BZN|CZ","8810.18","9014.00"
"10/01/2023 16:00 - 10/01/2023 17:00","BZN|CZ","8901.83","9042.00"
"10/01/2023 17:00 - 10/01/2023 18:00","BZN|CZ","8929.38","9077.00"
"10/01/2023 18:00 - 10/01/2023 19:00","BZN|CZ","8836.71","8883.00"
"10/01/2023 19:00 - 10/01/2023 20:00","BZN|CZ","8767.41","8815.00"
"10/01/2023 20:00 - 10/01/2023 21:00","BZN|CZ","8493.96","8576.00"
"10/01/2023 21:00 - 10/01/2023 22:00","BZN|CZ","8051.36","8117.00"
"10/01/2023 22:00 - 10/01/2023 23:00","BZN|CZ","7691.46","7705.00"
"10/01/2023 23:00 - 11/01/2023 00:00","BZN|CZ","7232.44","7280.00"
"11/01/2023 00:00 - 11/01/2023 01:00","BZN|CZ","6862.06","7045.00"
"11/01/2023 01:00 - 11/01/2023 02:00","BZN|CZ","6929.31","7106.00"
"11/01/2023 02:00 - 11/01/2023 03:00","BZN|CZ","6809.78","6975.00"
"11/01/2023 03:00 - 11/01/2023 04:00","BZN|CZ","6781.65","6947.00"
"11/01/2023 04:00 - 11/01/2023 05:00","BZN|CZ","7000.80","7111.00"
"11/01/2023 05:00 - 11/01/2023 06:00","BZN|CZ","7606.18","7641.00"
"11/01/2023 06:00 - 11/01/2023 07:00","BZN|CZ","8719.81","8703.00"
"11/01/2023 07:00 - 11/01/2023 08:00","BZN|CZ","9243.81","9213.00"
"11/01/2023 08:00 - 11/01/2023 09:00","BZN|CZ","9244.07","9391.00"
"11/01/2023 09:00 - 11/01/2023 10:00","BZN|CZ","9275.15","9451.00"
"11/01/2023 10:00 - 11/01/2023 11:00","BZN|CZ","9125.93","9375.00"
"11/01/2023 11:00 - 11/01/2023 12:00","BZN|CZ","9110.50","9326.00"
"11/01/2023 12:00 - 11/01/2023 13:00","BZN|CZ","9189.37","9356.00"
"11/01/2023 13:00 - 11/01/2023 14:00","BZN|CZ","9237.50","9331.00"
"11/01/2023 14:00 - 11/01/2023 15:00","BZN|CZ","9050.70","9146.00"
"11/01/2023 15:00 - 11/01/2023 16:00","BZN|CZ","9045.33","9157.00"
"11/01/2023 16:00 - 11/01/2023 17:00","BZN|CZ","9082.93","9198.00"
"11/01/2023 17:00 - 11/01/2023 18:00","BZN|CZ","9061.27","9204.00"
"11/01/2023 18:00 - 11/01/2023 19:00","BZN|CZ","8902.48","9009.00"
"11/01/2023 19:00 - 11/01/2023 20:00","BZN|CZ","8844.79","8933.00"
"11/01/2023 20:00 - 11/01/2023 21:00","BZN|CZ","8553.33","8668.00"
"11/01/2023 21:00 - 11/01/2023 22:00","BZN|CZ","8079.05","8182.00"
"11/01/2023 22:00 - 11/01/2023 23:00","BZN|CZ","7672.08","7755.00"
"11/01/2023 23:00 - 12/01/2023 00:00","BZN|CZ","7228.91","7310.00"
"12/01/2023 00:00 - 12/01/2023 01:00","BZN|CZ","6924.48","6915.00"
"12/01/2023 01:00 - 12/01/2023 02:00","BZN|CZ","6938.15","6944.00"
"12/01/2023 02:00 - 12/01/2023 03:00","BZN|CZ","6787.26","6815.00"
"12/01/2023 03:00 - 12/01/2023 04:00","BZN|CZ","6791.35","6754.00"
"12/01/2023 04:00 - 12/01/2023 05:00","BZN|CZ","6948.33","6897.00"
"12/01/2023 05:00 - 12/01/2023 06:00","BZN|CZ","7511.63","7421.00"
"12/01/2023 06:00 - 12/01/2023 07:00","BZN|CZ","8595.38","8467.00"
"12/01/2023 07:00 - 12/01/2023 08:00","BZN|CZ","9078.86","8952.00"
"12/01/2023 08:00 - 12/01/2023 09:00","BZN|CZ","9150.93","9115.00"
"12/01/2023 09:00 - 12/01/2023 10:00","BZN|CZ","9128.48","9255.00"
"12/01/2023 10:00 - 12/01/2023 11:00","BZN|CZ","9058.44","9186.00"
"12/01/2023 11:00 - 12/01/2023 12:00","BZN|CZ","8989.29","9151.00"
"12/01/2023 12:00 - 12/01/2023 13:00","BZN|CZ","9091.96","9206.00"
"12/01/2023 13:00 - 12/01/2023 14:00","BZN|CZ","9135.52","9198.00"
"12/01/2023 14:00 - 12/01/2023 15:00","BZN|CZ","8924.29","9025.00"
"12/01/2023 15:00 - 12/01/2023 16:00","BZN|CZ","8887.04","9022.00"
"12/01/2023 16:00 - 12/01/2023 17:00","BZN|CZ","8951.80","9035.00"
"12/01/2023 17:00 - 12/01/2023 18:00","BZN|CZ","8960.51","9051.00"
"12/01/2023 18:00 - 12/01/2023 19:00","BZN|CZ","8683.36","8841.00"
"12/01/2023 19:00 - 12/01/2023 20:00","BZN|CZ","8631.94","8760.00"
"12/01/2023 20:00 - 12/01/2023 21:00","BZN|CZ","8339.66","8494.00"
"12/01/2023 21:00 - 12/01/2023 22:00","BZN|CZ","7897.21","8017.00"
"12/01/2023 22:00 - 12/01/2023 23:00","BZN|CZ","7525.54","7581.00"
"12/01/2023 23:00 - 13/01/2023 00:00","BZN|CZ","7054.65","7143.00"
"13/01/2023 00:00 - 13/01/2023 01:00","BZN|CZ","6666.35","6873.00"
"13/01/2023 01:00 - 13/01/2023 02:00","BZN|CZ","6693.39","6901.00"
"13/01/2023 02:00 - 13/01/2023 03:00","BZN|CZ","6532.72","6752.00"
"13/01/2023 03:00 - 13/01/2023 04:00","BZN|CZ","6518.82","6687.00"
"13/01/2023 04:00 - 13/01/2023 05:00","BZN|CZ","6689.20","6817.00"
"13/01/2023 05:00 - 13/01/2023 06:00","BZN|CZ","7212.57","7324.00"
"13/01/2023 06:00 - 13/01/2023 07:00","BZN|CZ","8292.76","8351.00"
"13/01/2023 07:00 - 13/01/2023 08:00","BZN|CZ","8780.90","8825.00"
"13/01/2023 08:00 - 13/01/2023 09:00","BZN|CZ","8862.68","8941.00"
"13/01/2023 09:00 - 13/01/2023 10:00","BZN|CZ","8961.58","9164.00"
"13/01/2023 10:00 - 13/01/2023 11:00","BZN|CZ","8886.02","9122.00"
"13/01/2023 11:00 - 13/01/2023 12:00","BZN|CZ","8877.02","9105.00"
"13/01/2023 12:00 - 13/01/2023 13:00","BZN|CZ","8894.29","9103.00"
"13/01/2023 13:00 - 13/01/2023 14:00","BZN|CZ","8881.95","9039.00"
"13/01/2023 14:00 - 13/01/2023 15:00","BZN|CZ","8663.08","8848.00"
"13/01/2023 15:00 - 13/01/2023 16:00","BZN|CZ","8653.44","8812.00"
"13/01/2023 16:00 - 13/01/2023 17:00","BZN|CZ","8714.75","8812.00"
"13/01/2023 17:00 - 13/01/2023 18:00","BZN|CZ","8706.40","8800.00"
"13/01/2023 18:00 - 13/01/2023 19:00","BZN|CZ","8506.50","8586.00"
"13/01/2023 19:00 - 13/01/2023 20:00","BZN|CZ","8347.19","8447.00"
"13/01/2023 20:00 - 13/01/2023 21:00","BZN|CZ","7990.19","8103.00"
"13/01/2023 21:00 - 13/01/2023 22:00","BZN|CZ","7546.54","7612.00"
"13/01/2023 22:00 - 13/01/2023 23:00","BZN|CZ","7069.30","7165.00"
"13/01/2023 23:00 - 14/01/2023 00:00","BZN|CZ","6655.71","6779.00"
"14/01/2023 00:00 - 14/01/2023 01:00","BZN|CZ","6234.37","6296.00"
